timestamp,open,high,low,close,volume
2021-10-15T00:00:00,159700.0,246050.0,159700.0,201000.0,5244848.05614664
2021-10-16T00:00:00,201000.0,202900.0,192700.0,193450.0,697479.73671736
2021-10-17T00:00:00,193400.0,208050.0,192700.0,197400.0,1052538.27297835
2021-10-18T00:00:00,197400.0,201000.0,191750.0,194300.0,375165.69656359
2021-10-19T00:00:00,194300.0,195300.0,188550.0,190850.0,156503.29835124
2021-10-20T00:00:00,190850.0,215500.0,190050.0,214200.0,673790.70295806
2021-10-21T00:00:00,214400.0,236200.0,214150.0,235400.0,1889673.63755471
2021-10-22T00:00:00,235150.0,263800.0,230100.0,240700.0,2908292.02932902
2021-10-23T00:00:00,240600.0,252600.0,234800.0,241550.0,1007521.45340486
2021-10-24T00:00:00,241550.0,251550.0,229100.0,247150.0,758185.32665233
2021-10-25T00:00:00,247050.0,265600.0,242100.0,253900.0,1059527.20562227
2021-10-26T00:00:00,254050.0,259500.0,240050.0,242750.0,786690.71090998
2021-10-27T00:00:00,242650.0,248300.0,219750.0,226850.0,1271657.2589016
2021-10-28T00:00:00,226800.0,243450.0,221600.0,235700.0,765576.0420271
2021-10-29T00:00:00,236100.0,246950.0,234700.0,239900.0,509225.31674749
2021-10-30T00:00:00,240000.0,240250.0,223750.0,232000.0,453248.93461285
2021-10-31T00:00:00,232150.0,242300.0,222200.0,238350.0,560972.20259683
2021-11-01T00:00:00,239200.0,250100.0,235400.0,241950.0,522536.50698216
2021-11-02T00:00:00,241950.0,260550.0,238750.0,259000.0,402937.93199184
2021-11-03T00:00:00,259000.0,297000.0,252000.0,288850.0,924317.8192533
2021-11-04T00:00:00,288800.0,302000.0,280600.0,297700.0,570098.42960429
2021-11-05T00:00:00,297700.0,299000.0,280800.0,287500.0,332478.77387583
2021-11-06T00:00:00,287500.0,316250.0,285200.0,313700.0,640810.16750306
2021-11-07T00:00:00,313750.0,316600.0,299000.0,302100.0,543177.15755279
2021-11-08T00:00:00,302150.0,306600.0,292300.0,299900.0,744063.41136062
2021-11-09T00:00:00,299900.0,312500.0,286850.0,288750.0,759371.42017615
