timestamp,open,high,low,close,volume
2018-04-01T00:00:00,40.0,110.0,37.2,101.0,83149859274.36421
2018-05-01T00:00:00,101.0,104.0,62.2,66.5,45381672756.55049
2018-06-01T00:00:00,66.5,69.0,39.4,43.5,20418053938.689785
2018-07-01T00:00:00,43.5,48.5,35.8,38.5,13430266868.176176
2018-08-01T00:00:00,38.5,38.7,18.8,28.3,9627515252.596441
2018-09-01T00:00:00,28.3,30.2,19.7,24.8,8834336514.332613
2018-10-01T00:00:00,24.8,32.2,23.8,25.2,10983672685.822412
2018-11-01T00:00:00,25.2,27.8,12.4,16.3,9212907413.70468
2018-12-01T00:00:00,16.3,26.4,13.7,21.1,12401481322.093166
2019-01-01T00:00:00,21.1,38.7,20.9,27.7,29830219403.627014
2019-02-01T00:00:00,27.7,32.2,24.8,26.3,7851592157.1930275
2019-03-01T00:00:00,26.3,27.5,23.0,26.6,4646526644.61033
2019-04-01T00:00:00,26.6,36.8,25.1,26.9,10188913313.428123
2019-05-01T00:00:00,26.9,44.0,26.0,40.1,12202119567.331133
2019-06-01T00:00:00,40.2,49.4,35.7,40.0,8124872753.606616
2019-07-01T00:00:00,40.1,42.3,24.4,26.6,5053074059.005932
2019-08-01T00:00:00,26.6,27.7,18.3,18.8,4196944620.8268843
2019-09-01T00:00:00,18.7,22.1,14.4,17.4,5607302122.661422
2019-10-01T00:00:00,17.4,26.6,16.2,23.1,7885543118.309697
2019-11-01T00:00:00,23.1,23.8,15.3,18.2,6198406880.389777
2019-12-01T00:00:00,18.2,18.8,14.2,15.6,2447849371.8715014
2020-01-01T00:00:00,15.5,22.3,14.5,21.5,6178749562.134954
2020-02-01T00:00:00,21.4,30.9,19.1,20.0,9305129001.16979
2020-03-01T00:00:00,20.1,21.8,10.0,14.1,7686294744.286725
2020-04-01T00:00:00,14.1,20.3,13.6,18.5,5015519655.080013
2020-05-01T00:00:00,18.4,20.7,16.3,19.2,6229951970.545721
2020-06-01T00:00:00,19.2,22.4,18.1,19.5,4939262471.771412
2020-07-01T00:00:00,19.5,23.5,19.4,23.3,5066577418.300969
2020-08-01T00:00:00,23.3,37.6,21.3,34.4,9028877310.330841
2020-09-01T00:00:00,34.4,59.0,28.5,30.6,22486966850.032135
2020-10-01T00:00:00,30.5,33.4,28.3,29.2,4000553601.886821
2020-11-01T00:00:00,29.2,43.3,26.2,35.0,9327109207.50164
2020-12-01T00:00:00,35.1,37.4,27.1,29.7,7209810050.902339
2021-01-01T00:00:00,29.7,45.5,28.7,34.7,28072449688.228493
2021-02-01T00:00:00,34.7,73.9,33.4,52.4,26441943164.214947
2021-03-01T00:00:00,52.4,118.0,51.1,114.0,22726180298.4275
2021-04-01T00:00:00,114.0,249.0,98.7,157.0,44644035827.25199
2021-05-01T00:00:00,157.0,209.0,69.9,90.2,29285305460.37702
