timestamp,open,high,low,close,volume
2026-04-23T03:00:00,80.0,82.0,72.3,76.4,184450882.36031008
2026-04-23T03:10:00,76.4,86.4,72.3,75.9,276762433.80948806
2026-04-23T03:20:00,75.6,79.6,73.1,79.5,121567842.03843383
2026-04-23T03:30:00,79.6,82.7,77.8,80.2,170318123.56066197
2026-04-23T03:40:00,80.3,84.3,80.0,81.8,134070997.62876146
2026-04-23T03:50:00,81.8,82.2,79.5,80.3,60648074.1382836
2026-04-23T04:00:00,80.3,82.1,76.7,79.1,76014674.0642278
2026-04-23T04:10:00,79.1,79.9,77.0,77.5,52117917.18388906
2026-04-23T04:20:00,77.5,78.4,76.6,76.7,30729221.63012115
2026-04-23T04:30:00,76.7,77.8,75.8,76.1,41922876.45797305
2026-04-23T04:40:00,76.1,76.7,74.5,75.3,51677760.60664685
2026-04-23T04:50:00,75.2,76.9,74.8,76.8,35770370.80067747
2026-04-23T05:00:00,77.0,79.4,76.6,79.2,56719720.11693863
2026-04-23T05:10:00,79.2,80.7,78.9,79.2,69363129.43995927
2026-04-23T05:20:00,79.3,81.4,78.3,79.7,53161153.32791052
2026-04-23T05:30:00,79.8,80.1,78.5,80.1,32381964.00972924
2026-04-23T05:40:00,80.0,80.5,78.1,78.6,33923411.08972178
2026-04-23T05:50:00,78.6,79.6,78.3,79.6,16934899.24568627
2026-04-23T06:00:00,79.6,81.2,78.8,80.3,41783060.99156276
2026-04-23T06:10:00,80.4,82.7,79.9,80.4,72926501.58166765
2026-04-23T06:20:00,80.4,81.3,79.2,79.6,30600945.9054824
2026-04-23T06:30:00,79.6,80.4,79.0,79.0,24886686.48868968
2026-04-23T06:40:00,79.0,80.4,78.3,80.0,31091059.08697288
2026-04-23T06:50:00,80.1,80.1,79.1,79.5,12067285.31647367
2026-04-23T07:00:00,79.5,80.8,79.3,80.3,21999017.41368253
2026-04-23T07:10:00,80.3,81.3,79.6,80.7,31497071.58790146
2026-04-23T07:20:00,80.7,81.1,79.6,80.1,15664294.91147176
2026-04-23T07:30:00,80.1,82.3,80.0,80.7,43730698.64170228
2026-04-23T07:40:00,80.7,82.7,80.5,82.4,39332805.2227063
2026-04-23T07:50:00,82.3,84.0,81.8,82.3,79490294.40793864
2026-04-23T08:00:00,82.2,82.9,81.4,81.5,32581253.26805064
2026-04-23T08:10:00,81.5,81.6,78.5,79.0,43419285.56017597
2026-04-23T08:20:00,78.9,80.4,78.7,80.1,34675531.89484221
2026-04-23T08:30:00,80.1,80.8,79.5,80.2,18503039.16510967
2026-04-23T08:40:00,80.3,81.3,79.9,80.4,19114355.59476302
2026-04-23T08:50:00,80.2,80.5,79.7,80.0,10922744.70602392
2026-04-23T09:00:00,80.0,80.4,79.6,79.9,13004402.44422122
2026-04-23T09:10:00,79.9,81.8,79.3,81.7,36221550.45561469
2026-04-23T09:20:00,81.7,83.6,81.3,82.3,56739757.59492156
2026-04-23T09:30:00,82.1,85.4,81.7,82.9,89490383.08911358
2026-04-23T09:40:00,82.9,83.0,80.7,81.4,32968544.27886101
2026-04-23T09:50:00,81.4,82.4,81.4,82.2,12883987.40741015
2026-04-23T10:00:00,82.1,82.8,81.6,81.8,19992429.14424345
2026-04-23T10:10:00,81.8,85.3,81.7,84.7,50640492.38765776
2026-04-23T10:20:00,84.9,90.1,84.7,89.0,196211668.68662608
2026-04-23T10:30:00,89.1,92.0,88.1,89.8,163457588.09958252
2026-04-23T10:40:00,89.8,91.7,88.1,90.9,87619352.43805495
2026-04-23T10:50:00,90.9,94.4,90.3,94.1,133624211.67756803
2026-04-23T11:00:00,94.1,95.3,90.1,91.5,141854164.10837752
2026-04-23T11:10:00,91.5,91.9,89.4,90.8,72273170.07008898
2026-04-23T11:20:00,90.9,92.1,88.7,89.1,55751725.55511867
2026-04-23T11:30:00,89.1,89.4,84.6,86.2,97843170.79169998
2026-04-23T11:40:00,86.2,87.9,85.9,87.0,41813290.01359189
2026-04-23T11:50:00,86.9,87.3,84.7,85.9,44600613.16654846
2026-04-23T12:00:00,85.9,88.2,85.3,88.1,33948050.70077712
2026-04-23T12:10:00,88.2,89.4,87.2,89.2,46522119.65722084
2026-04-23T12:20:00,89.2,89.6,85.9,86.8,59233325.37034803
2026-04-23T12:30:00,86.7,87.2,85.7,85.9,28497020.46439612
2026-04-23T12:40:00,85.9,86.5,82.3,83.8,65354521.86546549
2026-04-23T12:50:00,83.7,83.8,80.7,81.6,81847202.17355181
2026-04-23T13:00:00,81.6,82.3,81.2,82.1,36808958.71499124
2026-04-23T13:10:00,82.0,82.7,81.7,82.3,21767370.41164967
2026-04-23T13:20:00,82.3,82.9,79.4,80.1,63113982.85053058
