timestamp,open,high,low,close,volume
2020-07-01T00:00:00,2.63,25.3,2.63,9.18,47275417239.09699
2020-08-01T00:00:00,9.21,13.6,6.53,7.43,12265090601.71226
2020-09-01T00:00:00,7.39,7.68,4.45,4.96,3299277686.652757
2020-10-01T00:00:00,4.96,7.63,3.14,3.25,7390067759.00854
2020-11-01T00:00:00,3.24,4.9,2.94,3.44,7354644660.605084
2020-12-01T00:00:00,3.44,5.39,3.29,4.32,22315263932.50248
2021-01-01T00:00:00,4.32,5.11,3.84,4.06,16639882646.500412
2021-02-01T00:00:00,4.06,11.7,3.9,7.2,63091206340.31249
2021-03-01T00:00:00,7.21,36.9,7.0,29.1,82144252501.98122
2021-04-01T00:00:00,29.0,46.7,10.4,20.5,54644580438.41417
2021-05-01T00:00:00,20.6,21.4,7.8,12.0,32198941152.819225
2021-06-01T00:00:00,12.0,12.8,4.06,8.26,39484943959.39352
2021-07-01T00:00:00,8.25,13.4,7.12,11.3,59523293670.287735
2021-08-01T00:00:00,11.3,15.3,10.1,13.5,23061519542.878273
2021-09-01T00:00:00,13.6,23.5,10.7,12.6,57423607084.04265
2021-10-01T00:00:00,12.8,41.5,12.5,19.5,102904800438.22424
2021-11-01T00:00:00,19.5,27.9,18.2,23.6,29532006573.605186
2021-12-01T00:00:00,23.5,25.0,12.8,14.6,10967199441.779877
2022-01-01T00:00:00,14.6,17.7,9.0,10.9,7608137227.732818
2022-02-01T00:00:00,10.8,13.9,9.34,12.5,7944305616.028226
2022-03-01T00:00:00,12.6,20.0,11.1,16.1,24597662613.58483
2022-04-01T00:00:00,16.1,19.6,12.6,12.8,15500762346.679495
2022-05-01T00:00:00,12.8,13.5,6.83,8.92,12600088891.81537
2022-06-01T00:00:00,8.92,11.4,5.55,7.0,26586242874.322964
2022-07-01T00:00:00,7.0,9.8,6.68,9.02,37430622642.58418
2022-08-01T00:00:00,9.04,10.4,8.02,8.35,15587895538.123882
2022-09-01T00:00:00,8.35,10.2,7.32,8.21,35520432952.076904
2022-10-01T00:00:00,8.21,10.1,7.41,8.35,38166194153.93876
2022-11-01T00:00:00,8.38,9.67,5.12,6.83,55740946182.530785
2022-12-01T00:00:00,6.83,7.86,5.16,5.46,20308251396.192974
2023-01-01T00:00:00,5.46,11.2,5.39,7.91,57443639662.71641
2023-02-01T00:00:00,7.91,28.0,7.55,12.4,76929233939.14494
2023-03-01T00:00:00,12.4,13.3,9.86,11.4,15695157458.727499
2023-04-01T00:00:00,11.4,13.2,10.8,11.3,11055463100.608255
2023-05-01T00:00:00,11.3,11.5,8.4,8.63,7268783065.704494
2023-06-01T00:00:00,8.63,10.2,6.65,8.37,44728061641.08498
2023-07-01T00:00:00,8.35,12.5,7.9,10.3,69887497361.86116
2023-08-01T00:00:00,10.2,11.8,8.43,8.56,24722102066.49274
2023-09-01T00:00:00,8.54,10.3,8.1,9.55,22228812169.10845
2023-10-01T00:00:00,9.56,10.3,8.66,10.2,11221100442.738935
2023-11-01T00:00:00,10.1,12.1,9.86,10.1,15997062547.031675
2023-12-01T00:00:00,10.0,11.8,9.89,10.1,8017200104.775949
2024-01-01T00:00:00,10.1,12.0,8.75,9.638,11153881591.304655
2024-02-01T00:00:00,9.639,13.67,9.62,12.43,41680299625.08005
2024-03-01T00:00:00,12.43,19.34,11.71,13.8,56821509642.04033
2024-04-01T00:00:00,13.8,13.99,9.595,9.818,10351841578.44232
2024-05-01T00:00:00,9.819,11.37,9.1,9.77,17511025278.538273
2024-06-01T00:00:00,9.76,9.779,5.586,6.288,6863742866.453407
2024-07-01T00:00:00,6.296,7.465,5.101,6.69,8916783693.372232
2024-08-01T00:00:00,6.69,6.92,4.956,5.742,5686895113.788662
2024-09-01T00:00:00,5.75,7.967,5.15,6.409,17851364842.532154
2024-10-01T00:00:00,6.409,7.88,5.795,5.977,24955465646.75414
2024-11-01T00:00:00,5.977,10.05,5.52,9.99,34087152257.18419
2024-12-01T00:00:00,9.986,10.75,6.5,7.283,17550382872.352917
2025-01-01T00:00:00,7.277,19.5,7.154,7.982,174944021392.28146
2025-02-01T00:00:00,7.982,8.573,5.61,6.137,27262585955.93694
2025-03-01T00:00:00,6.104,6.88,5.13,5.689,13099777948.832554
2025-04-01T00:00:00,5.718,6.562,4.97,5.999,15902736876.17967
2025-05-01T00:00:00,5.993,6.149,5.2,5.22,5998224183.531619
2025-06-01T00:00:00,5.23,5.59,4.715,4.858,3637441935.3693376
2025-07-01T00:00:00,4.821,6.4,4.816,5.43,16770900653.458775
2025-08-01T00:00:00,5.43,5.66,4.95,5.02,3706367053.6254716
2025-09-01T00:00:00,5.02,5.26,4.41,4.49,3203392858.1249084
2025-10-01T00:00:00,4.49,4.9,3.71,3.79,5990242377.399681
2025-11-01T00:00:00,3.76,3.87,2.52,3.07,4659095414.105747
2025-12-01T00:00:00,3.08,3.42,2.41,2.57,10239744751.862452
2026-01-01T00:00:00,2.58,3.36,2.35,2.51,11694405826.746382
2026-02-01T00:00:00,2.51,3.22,2.15,2.25,7672410492.279469
2026-03-01T00:00:00,2.24,2.51,2.16,2.26,5138666816.528872
2026-04-01T00:00:00,2.25,2.7,2.19,2.28,4166754820.6311455
