timestamp,open,high,low,close,volume
2018-04-02T00:00:00,40.0,64.1,38.2,40.7,20985057257.15014
2018-04-09T00:00:00,40.7,45.6,37.2,44.6,11821303352.428932
2018-04-16T00:00:00,44.6,63.4,43.0,57.1,15751949311.739134
2018-04-23T00:00:00,57.1,98.0,56.3,95.6,30017736971.367558
2018-04-30T00:00:00,95.7,110.0,88.5,93.0,12942491893.212053
2018-05-07T00:00:00,93.0,95.0,65.3,83.7,12182234879.65969
2018-05-14T00:00:00,83.7,85.3,69.6,84.4,7234828346.56656
2018-05-21T00:00:00,84.4,93.0,75.3,78.2,10711839615.559362
2018-05-28T00:00:00,78.2,78.6,61.5,67.4,9215492553.779465
2018-06-04T00:00:00,67.4,67.9,49.6,53.0,3051344081.759971
2018-06-11T00:00:00,53.0,54.6,42.9,47.8,4299599580.732163
2018-06-18T00:00:00,47.8,57.7,43.8,48.0,7375239641.256028
2018-06-25T00:00:00,48.0,49.2,39.4,42.4,3760816374.7442226
2018-07-02T00:00:00,42.4,45.7,41.4,42.0,3246202690.567631
2018-07-09T00:00:00,42.0,42.4,35.8,38.9,1617891729.3552976
2018-07-16T00:00:00,38.8,48.5,38.3,39.5,3409545410.909713
2018-07-23T00:00:00,39.5,45.7,37.6,44.1,3803900406.6093683
2018-07-30T00:00:00,44.1,44.4,32.2,34.7,2013601130.7612405
2018-08-06T00:00:00,34.6,35.5,25.7,26.3,1702923556.3303525
2018-08-13T00:00:00,26.3,28.3,18.8,25.3,3306196598.465295
2018-08-20T00:00:00,25.3,26.0,21.7,25.6,1511138506.4362903
2018-08-27T00:00:00,25.7,30.5,23.4,28.6,2651266483.9053044
2018-09-03T00:00:00,28.6,28.8,21.8,22.2,1146167615.3378932
2018-09-10T00:00:00,22.2,23.5,19.7,22.6,1515453213.2952137
2018-09-17T00:00:00,22.6,29.3,20.9,26.6,3446415770.8941207
2018-09-24T00:00:00,26.6,27.1,23.0,24.8,2121067631.886723
2018-10-01T00:00:00,24.8,31.4,24.0,30.6,4057098137.2697597
2018-10-08T00:00:00,30.7,32.2,23.8,27.1,4288803927.8187137
2018-10-15T00:00:00,27.1,29.6,26.0,27.2,1783204433.480927
2018-10-22T00:00:00,27.3,27.3,25.7,26.3,580499809.0572779
2018-10-29T00:00:00,26.4,26.7,24.2,26.3,590248052.4167185
2018-11-05T00:00:00,26.3,27.8,25.5,25.8,797779190.8752815
2018-11-12T00:00:00,25.9,26.1,20.3,21.5,1104363012.8322287
2018-11-19T00:00:00,21.5,21.5,12.4,14.1,2795445081.53394
2018-11-26T00:00:00,14.1,19.4,12.8,16.8,4874674533.5488
2018-12-03T00:00:00,16.8,17.2,13.7,15.2,2538939020.935483
2018-12-10T00:00:00,15.2,15.4,14.0,14.5,771289905.5042237
2018-12-17T00:00:00,14.6,25.3,14.5,23.2,5980769100.474704
2018-12-24T00:00:00,23.3,26.4,20.0,22.1,2340277896.1095295
2018-12-31T00:00:00,22.2,26.4,20.8,25.4,1858453990.4806972
2019-01-07T00:00:00,25.4,38.7,23.4,23.8,13266410890.00408
2019-01-14T00:00:00,23.9,29.7,23.5,26.5,6055694856.245129
2019-01-21T00:00:00,26.5,34.1,26.2,32.4,5410220107.102967
2019-01-28T00:00:00,32.3,32.4,26.3,28.1,4103597163.613159
2019-02-04T00:00:00,28.1,32.2,27.4,28.3,3606139599.92055
2019-02-11T00:00:00,28.3,28.8,25.6,26.2,1175354063.374118
2019-02-18T00:00:00,26.2,30.0,24.8,26.0,1818135311.5709546
2019-02-25T00:00:00,26.1,27.4,24.8,25.0,731306143.1848462
2019-03-04T00:00:00,25.0,26.3,23.0,25.3,1357983782.148394
2019-03-11T00:00:00,25.2,26.1,24.2,25.6,905741888.89
2019-03-18T00:00:00,25.6,27.5,24.6,26.3,1192158460.3136907
2019-03-25T00:00:00,26.3,27.1,24.8,26.6,941811268.3444566
2019-04-01T00:00:00,26.6,33.7,26.3,33.0,3230542387.438721
2019-04-08T00:00:00,33.0,36.8,29.1,31.2,4252344953.6334805
2019-04-15T00:00:00,31.2,31.8,28.0,29.0,1194593689.0706599
2019-04-22T00:00:00,28.9,29.6,26.0,27.0,1255044729.1515884
2019-04-29T00:00:00,27.0,28.0,25.1,26.9,765737599.3941803
2019-05-06T00:00:00,27.0,30.7,26.3,27.8,1511588641.5512795
2019-05-13T00:00:00,27.8,39.4,27.3,33.7,4615794310.084552
2019-05-20T00:00:00,33.7,38.2,30.9,36.8,2017058520.4514601
2019-05-27T00:00:00,36.8,49.4,36.7,45.9,5980363999.532071
2019-06-03T00:00:00,45.9,48.4,36.2,36.8,2380926993.2261877
2019-06-10T00:00:00,36.8,40.6,35.7,39.3,1105149138.2003627
2019-06-17T00:00:00,39.2,44.6,38.5,43.7,917143740.3111142
2019-06-24T00:00:00,43.6,47.4,38.1,40.0,1289616932.3202155
2019-07-01T00:00:00,40.1,42.3,37.1,41.5,555827699.8706745
2019-07-08T00:00:00,41.5,42.3,30.5,30.7,684686842.5968573
2019-07-15T00:00:00,30.8,36.2,24.4,34.7,1147583277.4360075
2019-07-22T00:00:00,34.5,35.6,25.4,26.5,2403111172.8439736
2019-07-29T00:00:00,26.5,26.9,25.2,26.5,664627256.7176194
2019-08-05T00:00:00,26.4,27.7,23.3,24.9,983918785.1396141
2019-08-12T00:00:00,24.9,25.5,19.2,21.6,1134316122.74939
2019-08-19T00:00:00,21.5,22.2,19.8,21.1,1032945876.8489867
2019-08-26T00:00:00,21.1,21.6,18.3,18.8,695732487.9450682
2019-09-02T00:00:00,18.8,19.5,16.8,18.7,1055407277.6642108
2019-09-09T00:00:00,18.7,19.2,17.3,18.3,853063276.2435344
2019-09-16T00:00:00,18.3,22.1,18.0,20.1,1479422808.059194
2019-09-23T00:00:00,20.1,20.3,14.4,16.0,1885133285.8287108
2019-09-30T00:00:00,16.0,18.5,15.4,17.5,871822866.9177951
2019-10-07T00:00:00,17.5,20.8,17.2,19.0,795568158.5034071
2019-10-14T00:00:00,19.1,19.9,17.3,18.4,677289786.0255102
2019-10-21T00:00:00,18.4,22.9,16.2,22.0,2595438937.676185
2019-10-28T00:00:00,22.0,26.6,22.0,23.1,3677366708.7417045
2019-11-04T00:00:00,23.1,23.8,21.3,22.5,1107967158.9088967
2019-11-11T00:00:00,22.5,23.6,21.3,21.9,1103594502.798764
2019-11-18T00:00:00,21.9,21.9,16.0,16.4,1630381483.6942642
