timestamp,open,high,low,close,volume
2025-01-01T00:00:00,112.7,129.0,66.5,69.72,22875725682.610878
2025-02-01T00:00:00,69.74,72.7,32.09,38.12,27237087282.893124
2025-03-01T00:00:00,38.12,38.75,23.5,25.46,11666201206.534967
2025-04-01T00:00:00,25.45,32.83,18.2,27.88,23021883041.57097
2025-05-01T00:00:00,27.91,43.8,24.1,32.9,21950932015.92925
2025-06-01T00:00:00,32.9,62.96,22.39,23.47,45463259673.17029
2025-07-01T00:00:00,23.45,34.92,21.52,23.5,12702225409.046165
2025-08-01T00:00:00,23.4,28.6,21.58,21.6,3861640642.498593
2025-09-01T00:00:00,21.6,23.7,19.0,19.5,2160113929.065791
2025-10-01T00:00:00,19.6,21.9,11.8,12.7,2310424764.2634187
2025-11-01T00:00:00,12.7,13.9,8.41,9.94,6836540389.979483
2025-12-01T00:00:00,9.94,15.8,7.55,10.6,36105744022.81796
2026-01-01T00:00:00,10.5,13.1,7.6,8.39,12501150179.810951
2026-02-01T00:00:00,8.4,12.5,6.69,7.26,18233483378.495617
2026-03-01T00:00:00,7.26,10.9,6.52,7.14,35088869803.55597
2026-04-01T00:00:00,7.14,7.72,6.65,7.04,8267550226.255054
